param,est,se,z
alpha,0.587498400384108,0.009853951495674617,59.62058983566033
delta,0,0.07105305369825443,0
beta,0.6238449361369928,0.021549144604081458,28.94987005743305
xi_ffs,5.990636474875255,0.03122547185728076,191.85095111632185
gamma0,-2.319248753704544,0.07856825881288063,-29.51890227360266
eta1,0.49950032778182507,0.015688680355646804,31.838262776642054
eta2,0.5892669730435008,0.03793865523517254,15.532099632703835
