plan_class,obs_share,pred_share,n_rows
FFS_outside,0.8251555669701721,0.798248087533057,31705
MA_dominated,0.009722405322784983,0.009899130194118535,115213
MA_nondominated,0.00865918674643723,0.012330696944552785,144634
